Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Occupied,Parc_Prop_Assmt,Parc_Minimum_Bid,Parc_BrownField,Zoning,Showings week,Website Publish End Date,Parc_Year_Built,Legal Description,FH_Cleanout,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4635408020,"4002 LAWNDALE AVE
FLINT, MI 48504",401,2019,No,8900,2167.38,A,,05/25/2022,01/11/2025,1951,FLEMING ADDITION LOT 60,x,06/06/2022,2500,0,,,Re-R4R,,,
4635408019,"4006 LAWNDALE AVE
FLINT, MI 48504",402,2014,,9600,1309.65,A,,,,,FLEMING ADDITION LOT 59.,,,,0,,,Re-R4R,Vacant Lot,,
4635432012,"4030 RACE ST
FLINT, MI 48504-2227",401,2024,No,,9400.61,A,,,,1950,DONNELLY ADDITION LOT 50.,,,8000,,,,Needs Pictures,,,
4636478003,"406 E VAN WAGONER AVE
FLINT, MI 48505",401,2015,No,9900,0,A,,01/06/2023,,1926,PASADENA. LOT 298.,x,01/17/2023,4000,0,,,Re-R4R,,,
4625106026,"406 W ALMA AVE
FLINT, MI 48505",402,2010,,9400,2477.21,A,,,,,IRVINGTON PLAT LOT 89,,,,0,,,,Vacant Lot,,
4636130007,"409 W BALTIMORE BLVD
FLINT, MI 48505",402,2012,,,496.98,A,,,,,FLINT PARK ALLOTMENT LOT 886 AND WLY 1/2 OF LOT 885.,,,,0,,,,Bundle-Occupied/Sell,,
4625280003,"410 E RUTH AVE
FLINT, MI 48505",401,2012,No,6200,6401.61,A,,11/03/2023,11/08/2024,1970,ROBINWOOD LOT 394.,x,11/13/2023,2500,0,,,Re-R4R,,,
4625106025,"410 W ALMA AVE
FLINT, MI 48505",401,2013,No,3400,2082.23,A,,,,1955,IRVINGTON PLAT LOT 88,,,7000,0,,,Needs Pictures,,,
4635327002,"4124  WINONA ST
FLINT, MI 48504",401,2021,No,6400,6465.05,A,,04/06/2022,10/03/2024,1956,WASENA SUBDIVISION LOTS 536 AND 537 EXC NLY 96 FT; ALSO NLY 32 FT OF LOT 538,x,04/19/2022,3500,0,,,Re-R4R,,,
4625282035,"413 E RUSSELL AVE
FLINT, MI 48505",401,2016,No,4100,2176.17,A,,,,1900,"ROBINWOOD LOT 158 AND 159 COMB ON 11/29/2012 FROM 46-25-282-021, 46-25-282-022;",,,3000,0,,,Re-R4R,,,
4118384026,"416 MORLEY AVE
FLINT, MI 48503",401,2017,No,5500,2407.17,A,,01/20/2023,05/24/2025,,"LASALLE GARDENS SUBDIVISION LOTS 17 AND 18 COMBINED ON 02/12/2014 FROM 41-18-384-017, 41-18-384-018;",x,01/30/2023,2500,0,,,Reviewing Offers,,,
4625278021,"417 E RUTH AVE
FLINT, MI 48505",401,2019,No,5700,2643.13,A,,,,1972,ARDMORE LOT 893,,,3500,0,,,Needs Pictures,,,
4001360004,"417 GRACE ST
FLINT, MI 48503",401,2014,,10600,1282.67,A,,06/07/2023,11/22/2024,1950,INDIAN VILLAGE LOT 160,x,06/19/2023,2000,0,,,Hold,,,
4625158012,"417 W AUSTIN AVE
FLINT, MI 48505",402,2009,,7100,2424.85,A,,08/03/2023,,1927,IRVINGTON PLAT LOT 245,x,08/14/2023,2000,0,,,,,,
4625229005,"418 E ALMA AVE
FLINT, MI 48505",401,2017,No,4600,2031.11,A,,,03/07/2026,1900,ARDMORE LOT 226; ALSO WLY 1/2 OF LOT 225.,,,4000,0,,,Scheduled,,,
4636229011,"418 E PHILADELPHIA BLV
FLINT, MI 48505",401,2022,No,4600,7202.44,A,,,,1940,"BOULEVARD HEIGHTS LOT 49, BLK 2",,,3000,0,,,Re-R4R,,,
4625158011,"421 W AUSTIN AVE
FLINT, MI 48505",401,2018,No,1900,3004.97,A,,08/03/2023,03/06/2026,1969,IRVINGTON PLAT LOT 246,x,08/14/2023,2000,0,,,Scheduled,,,
4635303002,"4222 WISNER ST
FLINT, MI 48504",401,2015,No,5100,0,A,,10/13/2023,11/16/2024,1970,WASENA SUBDIVISION LOT 194,x,10/23/2023,2000,0,,,Re-R4R,,,
4636429022,"425 E MYRTLE AVE
FLINT, MI 48505",401,2014,,11200,3104.17,A,,,06/21/2025,1929,PASADENA LOT 222,,,2500,0,,,Re-R4R,,,
4625158010,"425 W AUSTIN AVE
FLINT, MI 48505-2619",401,2024,No,,2338.13,A,,,03/29/2025,1953,IRVINGTON PLAT LOT 247,,,8000,,,,Re-R4R,,,
4625282025,"427 E RUSSELL AVE
FLINT, MI 48505",402,2005,,200,473.01,C,,11/16/2023,,,ROBINWOOD LOT 162,x,11/27/2023,2000,,,,,,,
4118384004,"429 W TWELFTH ST
FLINT, MI 48503",401,2019,No,4800,2479.56,A,,07/28/2023,02/20/2026,1927,LASALLE GARDENS SUBDIVISION LOT 7,x,08/07/2023,2000,0,,,Reviewing Offers,,,
4001252048,"437 E DARTMOUTH ST
FLINT, MI 48505",401,2022,No,6600,3122.62,A,,,12/05/2025,1939,HILLCREST LOT 620; ALSO THE E 13 FT OF LOT 618,,,8000,0,,,Reviewing Offers,,,
4635278027,"4517 EDWARDS AVE
FLINT, MI 48505",401,2018,No,5500,2680.05,A,,12/21/2022,,1950,FLINT PARK NO. 1 LOT 242,x,01/03/2023,1500,0,,,Re-R4R,,,
4635278016,"4520 BALDWIN BLVD
FLINT, MI 48505",401,2011,Unsure,8000,2217.34,A,,,11/15/2024,1955,FLINT PARK NO. 1 LOT 252,,,4000,0,,,Re-R4R,Poor Condition,,
4635278033,"4524 BALDWIN BLVD
FLINT, MI 48505",402,2014,,9000,2223.42,A,,,,,FLINT PARK NO. 1 LOTS 253 AND 254,,,,0,,,,Vacant Lot,,
4635278025,"4601 EDWARDS AVE
FLINT, MI 48505",401,2019,No,6200,2385.37,A,,02/16/2022,,1950,FLINT PARK NO. 1 LOT 240,x,03/01/2022,2500,0,,,Re-R4R,,,
4635104017,"4718 CANTERBURY LN
FLINT, MI 48504",401,2019,No,10400,5302.45,A,,08/10/2023,07/10/2025,1955,MANLEY VILLAGE NO. 1 LOT 275,x,08/21/2023,4500,0,,,Re-R4R,,,
4635233008,"4906 GLENN AVE
FLINT, MI 48505",401,2019,No,3700,5510.37,A,,09/27/2023,,1927,FLINT PARK NO. 1 LOT 170,x,10/09/2023,2000,0,,,Re-R4R,,,
4731204006,"5002 HORTON AVE
FLINT, MI 48505",401,2015,No,2600,0,A,,05/31/2023,,0,CLOVERDALE LOT 91,x,06/12/2023,2500,0,,,Re-R4R,,,
4625282026,"501 E RUSSELL AVE
FLINT, MI 48505",401,2011,No,5900,3098.4,A,,11/16/2023,,1950,ROBINWOOD LOT 163,x,11/27/2023,2000,0,,,Re-R4R,,,
4625110008,"501 W HOLBROOK AVE.
FLINT, MI 48505",402,2015,,,0,A,,09/14/2023,,1969,IRVINGTON PLAT LOT 129,x,09/25/2023,2500,0,,,,,,
4731129003,"5010 INDUSTRIAL AVE
FLINT, MI 48505",401,2016,,4100,2109.76,A,,,,1928,CLOVERDALE LOT 18.,,,3500,0,,,Needs Pictures,,,
4625282010,"502 E AUSTIN AVE
FLINT, MI 48505",401,2017,No,3700,3564.76,A,,08/03/2023,08/02/2025,1929,ROBINWOOD LOT 205,x,08/14/2023,2500,0,,,Re-R4R,,,
4625104022,"502 W YORK AVE
FLINT, MI 48505",402,2015,,4000,0,A,,,,,IRVINGTON PLAT LOT 52,,,,0,,,,Vacant Lot,,
4635230017,"5023 DUPONT ST
FLINT, MI 48505",401,2016,No,7200,5088.63,A,,06/01/2023,,1927,FLINT PARK NO. 1 LOT 9,x,06/12/2023,2500,0,,,Re-R4R,,,
4625110007,"505 W HOLBROOK AVE
FLINT, MI 48505",401,2018,No,3500,13287.87,A,,09/14/2023,03/05/2026,1955,IRVINGTON PLAT LOT 130,x,09/25/2023,2500,0,,,Scheduled,,,
4625282011,"506 E AUSTIN AVE
FLINT, MI 48505",401,2013,No,2800,1746.07,A,,08/03/2023,,1968,ROBINWOOD LOT 204.,x,08/14/2023,2500,0,,,Re-R4R,,,
4636276014,"506 E BISHOP AVE
FLINT, MI 48505",401,2015,,4500,0,A,,,11/07/2025,1926,FLINT PARK ALLOTMENT LOT 232,,,3500,0,,,Reviewing Offers,,,
4636226012,"506 E PIERSON RD
FLINT, MI 48505",401,2022,No,3900,5260.59,A,,03/09/2023,,1927,"BOULEVARD HEIGHTS LOT 52, BLK 5",x,03/20/2023,4000,0,,,Re-R4R,,,
4119129016,"506 MORLEY AVE
FLINT, MI 48503",401,2015,,3100,0,A,,03/11/2022,05/23/2025,1920,LASALLE GARDENS SUBDIVISION LOT 35,x,03/22/2022,1500,0,,,Hold,,,
4625104021,"506 W YORK AVE
FLINT, MI 48505-2097",401,2024,Unsure,,2224.26,A,,,03/22/2025,1958,IRVINGTON PLAT LOT 51,,,6000,,,,Re-R4R,,,
4625282012,"510 E AUSTIN AVE
FLINT, MI 48505",402,2005,No,200,1632.24,C,,08/03/2023,,1954,ROBINWOOD LOT 203,x,08/14/2023,2500,,,,,,,
4625428013,"510 E PIPER AVE
FLINT, MI 48505",402,2003,No,0,1470.89,B,,,,,SUBURBAN GARDENS LOT 130,,,,,,,,Vacant Lot,,
4635230015,"5105  DUPONT ST
FLINT, MI 48505",401,2021,No,6100,2906.95,A,,10/05/2023,,1927,FLINT PARK NO. 1 LOT 7 PROPERTY EXEMPT FROM AD VALOREM TAXES AND ASSESSED ON THE SPECIAL ACT ROLL PURSUANT TO PA 261 OF 2003 EXPIRING 12/30/2021,x,10/16/2023,2000,0,,,Re-R4R,,,
4731127002,"5114 INDUSTRIAL AVE
FLINT, MI 48505",401,2019,No,4600,2204.61,A,,04/05/2023,,1929,CLOVERDALE LOT 24.,x,04/17/2023,3000,0,,,Re-R4R,,,
4636483015,"517 E PASADENA AVE
FLINT, MI 48505",402,2005,,500,840.43,C,,,,,PASADENA LOT 355 EXC THE NLY 40 FT.,,,,,,,,Vacant Lot,,
4636154019,"517 W ELDRIDGE AVE
FLINT, MI 48505",401,2018,No,5100,4627.31,A,,03/30/2022,11/01/2025,1929,FLINT PARK ALLOTMENT LOT 983,x,04/12/2022,2500,0,,,Reviewing Offers,,,
4636483016,"521 E PASADENA AVE
FLINT, MI 48505",401,2017,No,15800,3292.97,A,,,07/19/2025,1928,PASADENA LOT 356 EXC THE NLY 40 FT.,,,4500,0,,,Re-R4R,,,
4636226047,"521 E PULASKI ST
FLINT, MI 48505",401,2016,No,4600,4987.93,A,,05/24/2023,10/11/2025,1929,"BOULEVARD HEIGHTS LOT 23, BLK 5",x,06/05/2023,3000,0,,,Reviewing Offers,,,
